,,,,,,,language,,
H5704,1349,ʻad,ayin-dalet,עד,hitherto,ʻad,Hebrew,עד,
H5704,1349,ʻad,ayin-dalet,עד,or,ʻad,Hebrew,עד,
H5704,1349,ʻad,ayin-dalet,עד,till,ʻad,Hebrew,עד,
H5704,1349,ʻad,ayin-dalet,עד,toward,ʻad,Hebrew,עד,
H5704,1349,ʻad,ayin-dalet,עד,toward,ʻad,Hebrew,עד,
H5704,1349,ʻad,ayin-dalet,עד,until,ʻad,Hebrew,עד,
H5704,1349,ʻad,ayin-dalet,עד,up to,ʻad,Hebrew,עד,
H5709,1349,ʻădâʼ,ayin-dalet,עד,repealed,ʻădâʼ,Hebrew,עדא,
H5709,1349,ʻădâʼ,ayin-dalet,עד,taken,ʻădâʼ,Hebrew,עדא,
H109,1071,ʼâdab,dalet-beyt,דב,languish,ʼâdab,Hebrew,אדב,
H111,1111,ʼĂdad,NAME,אדד,Adad,ʼĂdad,Hebrew,אדד,
H5735,1111,ʻĂdʻâdâh,NAME,עדעדה,Adadah,ʻĂdʻâdâh,Hebrew,עדעדה,
H5711,1111,ʻÂdâh,NAME,עדה,Adah,ʻÂdâh,Hebrew,עדה,
H5710,1349,ʻâdâh,ayin-dalet,עד,adorn to identify,ʻâdâh,Hebrew,עדה,
H5710,1349,ʻâdâh,ayin-dalet,עד,advance,ʻâdâh,Hebrew,עדה,
H118,1111,ʼĂdalyâʼ,NAME,אדליא,Adalja,ʼĂdalyâʼ,Hebrew,אדליא,
H119,1082,ʼâdam,dalet-mem,דמ,show blood,ʼâdam,Hebrew,אדם,
H121,1111,ʼÂdâm,NAME,אדם,Adam,ʼÂdâm,Hebrew,אדם,
H120,1082,ʼâdâm,dalet-mem,דמ,ruddy,ʼâdâm,Hebrew,אדם,
H128,1111,ʼĂdâmâh,NAME,אדמה,Adamah,ʼĂdâmâh,Hebrew,אדמה,
H127,1082,ʼădâmâh,dalet-mem,דמ,soil,ʼădâmâh,Hebrew,אדמה,
H125,1082,ʼădamdâm,dalet-mem,דמ,reddish,ʼădamdâm,Hebrew,אדמדם,
H129,1111,ʼĂdâmîy,NAME,אדמי,Adami,ʼĂdâmîy,Hebrew,אדמי,
H5727,2528,ʻâdan,ayin-dalet-nun,עדנ,be soft,ʻâdan,Hebrew,עדן,
H5736,2529,ʻădaph,ayin-dalet-pey,עדפ,be,ʻădaph,Hebrew,עדף,
H142,1089,ʼâdar,dalet-resh,דר,expand,ʼâdar,Hebrew,אדר,
H143,1111,ʼĂdâr,NAME,אדר,Adar,ʼĂdâr,Hebrew,אדר,
H5742,2531,ʻâdâsh,ayin-dalet-shin,עדש,lentil,ʻâdâsh,Hebrew,עדש,
H156,1090,ʼâdash,dalet-shin,דש,tread,ʼâdash,Hebrew,אדש,
H5718,1111,ʻĂdâyâh,NAME,עדיה,Adajah,ʻĂdâyâh,Hebrew,עדיה,
H110,1111,ʼAdbᵉʼêl,NAME,אדבאל,Adbeel,ʼAdbᵉʼêl,Hebrew,אדבאל,
H135,1111,ʼAddân,NAME,אדן,Addan,ʼAddân,Hebrew,אדן,
H146,1111,ʼAddâr,NAME,אדר,Addar,ʼAddâr,Hebrew,אדר,
H155,1089,ʼaddereth,dalet-resh,דר,ample,ʼaddereth,Hebrew,אדרת,
H117,1089,ʼaddîyr,dalet-resh,דר,excellent,ʼaddîyr,Hebrew,אדיר,
H117,1089,ʼaddîyr,dalet-resh,דר,famous,ʼaddîyr,Hebrew,אדיר,
H117,1089,ʼaddîyr,dalet-resh,דר,gallant,ʼaddîyr,Hebrew,אדיר,
H117,1089,ʼaddîyr,dalet-resh,דר,glorious,ʼaddîyr,Hebrew,אדיר,
H117,1089,ʼaddîyr,dalet-resh,דר,goodly,ʼaddîyr,Hebrew,אדיר,
H117,1089,ʼaddîyr,dalet-resh,דר,lordly,ʼaddîyr,Hebrew,אדיר,
H117,1089,ʼaddîyr,dalet-resh,דר,mighty,ʼaddîyr,Hebrew,אדיר,
H117,1089,ʼaddîyr,dalet-resh,דר,noble,ʼaddîyr,Hebrew,אדיר,
H117,1089,ʼaddîyr,dalet-resh,דר,principle,ʼaddîyr,Hebrew,אדיר,
H117,1089,ʼaddîyr,dalet-resh,דר,wide,ʼaddîyr,Hebrew,אדיר,
H117,1089,ʼaddîyr,dalet-resh,דר,worthy,ʼaddîyr,Hebrew,אדיר,
H114,1111,ʼAddôwn,NAME,אדון,Addon,ʼAddôwn,Hebrew,אדון,
H5716,1349,ʻădîy,ayin-dalet,עד,adornment,ade,Hebrew,עדי,
H5716,1349,ʻădîy,ayin-dalet,עד,crown,ade,Yoruba,עדי, 
H5703,1349,ʻad,ayin-dalet,עד,everlasting,ade,Hebrew,עד,
H5703,1349,ʻad,ayin-dalet,עד,forever,ade,Hebrew,עד,
H5703,1349,ʻad,ayin-dalet,עד,until,ade,Xhosa,עד,ade.mp3
H5728,2528,ʻăden,ayin-dalet-nun,עדנ,till now,ʻăden,Hebrew,עדן,
H5717,1111,ʻĂdîyʼêl,NAME,עדיאל,Adiel,ʻĂdîyʼêl,Hebrew,עדיאל,
H5720,1111,ʻÂdîyn,NAME,עדין,Adin,ʻÂdîyn,Hebrew,עדין,
H5719,2528,ʻâdîyn,ayin-dalet-nun,עדנ,voluptuous,ʻâdîyn,Hebrew,עדין,
H5721,1111,ʻĂdîynâʼ,NAME,עדינא,Adina,ʻĂdîynâʼ,Hebrew,עדינא,
H5722,2528,ʻădîynôw,ayin-dalet-nun,עדנ,his spear,ʻădîynôw,Hebrew,עדינו,
H5723,1111,ʻĂdîythayim,NAME,עדיתים,Adithajim,ʻĂdîythayim,Hebrew,עדיתים,
H5724,1111,ʻAdlay,NAME,עדלי,Adlai,ʻAdlay,Hebrew,עדלי,
H126,1111,ʼAdmâh,NAME,אדמה,Admah,ʼAdmâh,Hebrew,אדמה,
H133,1111,ʼAdmâthâʼ,NAME,אדמתא,Admatha,ʼAdmâthâʼ,Hebrew,אדמתא,
H132,1082,ʼadmônîy,dalet-mem,דמ,reddish,ʼadmônîy,Hebrew,אדמני,
H5733,1111,ʻAdnâʼ,NAME,עדנא,Adna,ʻAdnâʼ,Hebrew,עדנא,
H5734,1111,ʻAdnâh,NAME,עדנה,Adnah,ʻAdnâh,Hebrew,עדנה,
H122,1082,ʼâdôm,dalet-mem,דמ,rosy,ʼâdôm,Hebrew,אדם,
H136,1111,ʼĂdônây,NAME,אדני,Lord,ʼĂdônây,Hebrew,אדני,
H138,1111,ʼĂdônîyâh,NAME,אדניה,Adonijah,ʼĂdônîyâh,Hebrew,אדניה,
H137,1111,ʼĂdônîy-Bezeq,NAME,אדניבזק,Adoni-Bezek,ʼĂdônîy-Bezeq,Hebrew,אדניבזק,
H140,1111,ʼĂdônîyqâm,NAME,אדניקם,Adonikam,ʼĂdônîyqâm,Hebrew,אדניקם,
H141,1111,ʼĂdônîyrâm,NAME,אדנירם,Adoniram,ʼĂdônîyrâm,Hebrew,אדנירם,
H139,1111,ʼĂdônîy-Tsedeq,NAME,אדניצדק,Adoni-Tsedek,ʼĂdônîy-Tsedeq,Hebrew,אדניצדק,
H151,1111,ʼĂdôrâm,NAME,אדרם,Adoram,ʼĂdôrâm,Hebrew,אדרם,
H113,1083,ʼâdôwn,dalet-nun,דנ,sovereign,ʼâdôwn,Hebrew,אדון,
H115,1111,ʼĂdôwrayim,NAME,אדורים,Adorajim,ʼĂdôwrayim,Hebrew,אדורים,
H152,1111,ʼĂdrammelek,NAME,אדרמלך,Adrammelek,ʼĂdrammelek,Hebrew,אדרמלך,
H5741,1111,ʻAdrîyʼêl,NAME,עדריאל,Adriel,ʻAdrîyʼêl,Hebrew,עדריאל,
H5725,1111,ʻĂdullâm,NAME,עדלם,Adullam,ʻĂdullâm,Hebrew,עדלם,
H5726,1111,ʻĂdullâmîy,NAME,עדלמי,Adullamite,ʻĂdullâmîy,Hebrew,עדלמי,
H131,1111,ʼĂdummîym,NAME,אדמים,Adummim,ʼĂdummîym,Hebrew,אדמים,
H6279,2910,ʻâthar,ayin-tav-resh,עתר,prayer,adura,Yoruba,עתר, 
H1819,1082,dâmâh,dalet-mem,דמ,he looks like me,Aɖìm(?) ,Ewe,דמה,
H369,1014,ʼayin,aleph-nun,אנ,without,aena,Southern Sotho,אין,aena.mp3
H6311,1374,pôh,pey-waw,פו,here,afha,Venda,פה,afha.mp3
H3022,1062,yâgâʻ,gimel-ayin,גע,build,aga,Pedi,יגע,aga.mp3
H5689,2523,ʻăgab,ayin-gimel-beyt,עגב,breathe after,ʻăgab,Hebrew,עגב,
H5691,2523,ʻăgâbâh,ayin-gimel-beyt,עגב,love,ʻăgâbâh,Hebrew,עגבה,
H90,1111,ʼĂgag,NAME,אגג,Agag,ʼĂgag,Hebrew,אגג,
H91,1111,ʼĂgâgîy,NAME,אגגי,Agagite,ʼĂgâgîy,Hebrew,אגגי,
H5699,2524,ʻăgâlâh,ayin-gimel-lamed,עגל,revolving,ʻăgâlâh,Hebrew,עגלה,
H5701,2525,ʻâgam,ayin-gimel-mem,עגמ,be sad,ʻâgam,Hebrew,עגם,
H98,1059,ʼăgam,gimel-mem,גמ,marsh,ʼăgam,Hebrew,אגם,
H5702,2526,ʻâgan,ayin-gimel-nun,עגנ,debar,ʻâgan,Hebrew,עגן,
H103,1066,ʼâgar,gimel-resh,גר,harvest,ʼâgar,Hebrew,אגר,
H3019,1062,yâgîyaʻ,gimel-ayin,גע,weary,agara,Yoruba,יגיע, 
H1370,2052,gᵉbûwrâh,gimel-beyt-resh,גבר,might,agbara,Yoruba,גבורה,
H1370,2052,gᵉbûwrâh,gimel-beyt-resh,גבר,power,agbara,Yoruba,גבורה,
H1370,2052,gᵉbûwrâh,gimel-beyt-resh,גבר,strength,agbara,Yoruba,גבורה,
H5674,2520,ʻâbar,ayin-beyt-resh,עבר,cross,agbelebu,Yoruba,עבר, 
H1625,1066,gêrâh,gimel-resh,גר,cud,agbo,Yoruba,גרה,
H89,1111,ʼÂgêʼ,NAME,אגא,Age,ʼÂgêʼ,Hebrew,אגא,
H99,1059,ʼâgêm,gimel-mem,גמ,sad,ʼâgêm,Hebrew,אגם,
H101,1060,ʼaggân,gimel-nun,גנ,bowl,ʼaggân,Hebrew,אגן,
H5694,2524,ʻâgîyl,ayin-gimel-lamed,עגל,round,ʻâgîyl,Hebrew,עגיל,
H100,1059,ʼagmôwn,gimel-mem,גמ,rush,ʼagmôwn,Hebrew,אגמון,
H5696,2524,ʻâgôl,ayin-gimel-lamed,עגל,circular,ʻâgôl,Hebrew,עגל,
H95,1066,ʼăgôwrâh,gimel-resh,גר,gathered,ʼăgôwrâh,Hebrew,אגורה,
H92,1050,ʼăguddâh,gimel-dalet,גד,band,ʼăguddâh,Hebrew,אגדה,
H5693,2527,ʻâgûwr,ayin-dalet-resh,עדר,swallow,ʻâgûwr,Hebrew,עגור,
H94,1111,ʼÂgûwr,NAME,אגור,Agur,ʼÂgûwr,Hebrew,אגור,
H158,1094,ʼahab,hey-beyt,הב,affection,ʼahab,Hebrew,אהב,
H160,1094,ʼahăbâh,hey-beyt,הב,love,ʼahăbâh,Hebrew,אהבה,
H162,1005,ʼăhâhh,aleph-hey,אה,oh,ʼăhâhh,Hebrew,אהה,
H162,1111,ʼăhâhh,NAME,אהה,Oh!,ʼăhâhh,Hebrew,אהה,
H167,1104,ʼâhal,hey-lamed,הל,tent,ʼâhal,Hebrew,אהל,
H166,1104,ʼâhal,hey-lamed,הל,be clear,ʼâhal,Hebrew,אהל,
H174,1104,ʼăhâlîym,hey-lamed,הל,aloe wood,ʼăhâlîym,Hebrew,אהלים,
H175,1111,ʼAhărôwn,NAME,אהרון,Aharon,ʼAhărôwn,Hebrew,אהרון,
H163,1111,ʼAhăwâʼ,NAME,אהוא,Ahava,ʼAhăwâʼ,Hebrew,אהוא,
H162,1005,ʼăhâhh,aleph-hey,אה,oh,ahh,Dialect1,אהה,
H4221,1284,môach,mem-hhet,מח,open,ahlama,Southern Sotho,מח,ahlama.mp3
H4221,1284,môach,mem-hhet,מח,open,ahlama,Southern Sotho,מח,ahlama.mp3
H258,1165,ʼâchad,hhet-dalet,חד,separate,ahlola,Southern Sotho,אחד,ahlola.mp3
H1951,1106,hûwn,hey-nun,הנ,be naught,ahona,Southern Sotho,הון,ahona.mp3
H1472,1052,gᵉwîyâh,gimel-waw,גו,body,ahu,Igbo,גויה,
H369,1014,ʼayin,aleph-nun,אנ,incurable,ainiwosan,Yoruba,אין,
H369,1014,ʼayin,aleph-nun,אנ,innumerable,ainiye,Yoruba,אין,
H343,1004,ʼêyd,aleph-dalet,אד,calamity,ajadu,Yoruba,איד,
H343,1004,ʼêyd,aleph-dalet,אד,destruction,ajadu,Yoruba,איד,
H502,2001,ʼâlaph,aleph-lamed-peh,אלף,yoke,ajaga,Yoruba,אלף,
H422,1012,ʼâlâh,aleph-lamed,אל,yoke,ajaga,Yoruba,אלה,
H5955,1058,ʻôlêlâh,gimel-lamed,גל,grapes,ajara,Yoruba,עללה, 
H1616,1066,gêr,gimel-resh,גר,stranger,ajelo,Yoruba,גר,
H3346,1418,yᵉqêdâʼ,quph-dalet,קד,burning,aka,Asu(Tanzania),יקדא, 
H3344,1418,yâqad,quph-dalet,קד,burn,aka,Asu(Tanzania),יקד, 
H3022,1062,yâgâʻ,gimel-ayin,גע,build,aka,Tsonga,יגע, 
H5913,2540,ʻâkaç,ayin-kaph-samehh,עכס,put on anklets,ʻâkaç,Hebrew,עכס,
H5913,2540,ʻâkaç,ayin-kaph-samehh,עכס,tinkle,ʻâkaç,Hebrew,עכס,
H399,1242,ʼăkal,kaph-lamed,כל,eat,ʼăkal,Hebrew,אכל,
H3639,2261,kᵉlimmâh,kaph-lamed-mem,כלמ,weakness in character,akalema,Bemba,כלמה, 
H2450,2159,châkâm,hhet-kaph-mem,חכמ,cunning,akama,Southern Sotho,חכם,akama.mp3
H2450,2159,châkâm,hhet-kaph-mem,חכמ,kiss,akama,Southern Sotho,חכם,akama.mp3
H2450,2159,châkâm,hhet-kaph-mem,חכמ,subtil,akama,Southern Sotho,חכם,akama.mp3
H5912,1111,ʻÂkân,NAME,עכן,Akan,ʻÂkân,Hebrew,עכן,
H404,1247,ʼâkaph,kaph-pey,כפ,urge,ʼâkaph,Hebrew,אכף,
H5916,2541,ʻâkar,ayin-kaph-resh,עכר,roil water,ʻâkar,Hebrew,עכר,
H5916,2541,ʻâkar,ayin-kaph-resh,עכר,stir,ʻâkar,Hebrew,עכר,
H5916,2541,ʻâkar,ayin-kaph-resh,עכר,trouble,ʻâkar,Hebrew,עכר,
H5916,2541,ʻâkar,ayin-kaph-resh,עכר,troubler,ʻâkar,Hebrew,עכר,
H5917,1111,ʻÂkâr,NAME,עכר,Akar,ʻÂkâr,Hebrew,עכר,
H5909,3043,ʻakbâr,ayin-kaph-beyt-resh,עכבר,mouse,ʻakbâr,Hebrew,עכבר,
H5907,1111,ʻAkbôwr,NAME,עכבור,Akbor,ʻAkbôwr,Hebrew,עכבור,
H5915,1111,ʻAkçâh,NAME,עכסה,Aksah,ʻAkçâh,Hebrew,עכסה,
H403,1244,ʼâkên,kaph-nun,כנ,albeit,akere,Pedi,אכן,akere.mp3
H403,1244,ʼâkên,kaph-nun,כנ,emphasize the unexpected,akere,Pedi,אכן,akere.mp3
H403,1244,ʼâkên,kaph-nun,כנ,surely,akere,Pedi,אכן,akere.mp3
H310,1181,ʼachar,hhet-resh,חר,for as much as,akere,Southern Sotho,אחר,akere.mp3
H310,1181,ʼachar,hhet-resh,חר,seeing that,akere,Southern Sotho,אחר,akere.mp3
H3022,1062,yâgâʻ,gimel-ayin,גע,build,akha,Xhosa,יגע,akha.mp3
H3022,1062,yâgâʻ,gimel-ayin,גע,build,akha,Zulu,יגע,akha.mp3
H396,1242,ʼăkîylâh,kaph-lamed,כל,eatable,ʼăkîylâh,Hebrew,אכילה,
H397,1111,ʼĂkîysh,NAME,אכיש,Akish,ʼĂkîysh,Hebrew,אכיש,
H5908,3044,ʻakkâbîysh,ayin-kaph-beyt-shin,עכבש,spider,ʻakkâbîysh,Hebrew,עכביש,
H390,1111,ʼAkkad,NAME,אכד,Accad,ʼAkkad,Hebrew,אכד,
H5910,1111,ʻAkkôw,NAME,עכו,Akko,ʻAkkôw,Hebrew,עכו,
H6148,2573,ʻârab,ayin-resh-beyt,ערב,become,ako,Asu(Tanzania),ערב, 
H5911,1111,ʻÂkôwr,NAME,עכור,Akor,ʻÂkôwr,Hebrew,עכור,
H3722,2283,kâphar,kaph-pey-resh,כפר,cover,akpa,Ewe,כפר, 
H407,1111,ʼAkshâph,NAME,אכשף,Acshaph,ʼAkshâph,Hebrew,אכשף,
H5919,3045,ʻakshûwb,ayin-kaph-shin-beyt,עכשב,adder,ʻakshûwb,Hebrew,עכשוב,
H5919,3045,ʻakshûwb,ayin-kaph-shin-beyt,עכשב,asp,ʻakshûwb,Hebrew,עכשוב,
H391,2253,ʼakzâb,kaph-zayin-beyt,כזב,falsehood,ʼakzâb,Hebrew,אכזב,
H393,2254,ʼakzâr,kaph-zayin-resh,כזר,violent,ʼakzâr,Hebrew,אכזר,
H394,2254,ʼakzârîy,kaph-zayin-resh,כזר,terrible,ʼakzârîy,Hebrew,אכזרי,
H395,2254,ʼakzᵉrîyûwth,kaph-zayin-resh,כזר,fierceness,ʼakzᵉrîyûwth,Hebrew,אכזריות,
H392,1111,ʼAkzîyb,NAME,אכזיב,Akzib,ʼAkzîyb,Hebrew,אכזיב,
H5922,1357,ʻal,ayin-lamed,על,against,ʻal,Hebrew,על,
H5922,1357,ʻal,ayin-lamed,על,over,ʻal,Hebrew,על,
H5922,1357,ʻal,ayin-lamed,על,toward,ʻal,Hebrew,על,
H5921,1357,ʻal,ayin-lamed,על,above,ʻal,Hebrew,על,
H409,1254,ʼal,lamed-aleph,לא,god,ʼal,Hebrew,אל,
H408,1254,ʼal,lamed-aleph,לא,not,ʼal,Hebrew,אל,
H516,1111,ʼAl tashchêth,NAME,אל תשחת,Thou must not destroy',ʼAl tashchêth,Hebrew,אל תשחת,
H772,1455,ʼăraʻ,resh-tsade,רצ,world,ala,Igbo,ארע,
H6168,1365,ʻârâh,ayin-resh,ער,lay bare,ala,Southern Sotho,ערה,ala.mp3
H6168,1365,ʻârâh,ayin-resh,ער,spread,ala,Southern Sotho,ערה,ala.mp3
H6168,1365,ʻârâh,ayin-resh,ער,uncover,ala,Southern Sotho,ערה,ala.mp3
H5927,1357,ʻâlâh,ayin-lamed,על,laid,ala,Southern Sotho,עלה,ala.mp3
H5712,1349,ʻêdâh,ayin-dalet,עד,nation,ala,Igbo,עדה, 
H5966,2546,ʻâlaʻ,ayin-lamed-ayin,עלע,sip up,ʻâlaʻ,Hebrew,עלע,
H5966,2546,ʻâlaʻ,ayin-lamed-ayin,עלע,suck,ʻâlaʻ,Hebrew,עלע,
H5967,2664,ʻălaʻ,tsade-lamed-ayin,צלע,rib,ʻălaʻ,Hebrew,עלע,
H5965,2545,ʻâlaç,ayin-lamed-samehh,עלס,leap for joy,ʻâlaç,Hebrew,עלס,
H5965,2545,ʻâlaç,ayin-lamed-samehh,עלס,peacock,ʻâlaç,Hebrew,עלס,
H5965,2545,ʻâlaç,ayin-lamed-samehh,עלס,rejoice,ʻâlaç,Hebrew,עלס,
H5965,2545,ʻâlaç,ayin-lamed-samehh,עלס,solace,ʻâlaç,Hebrew,עלס,
H4574,2528,maʻădân,ayin-dalet-nun,עדנ,delicious,aladun,Yoruba,מעדן, 
H7495,1454,râphâʼ,resh-pey,רפ,heal,alafa,Southern Sotho,רפא,alafa.mp3
H505,2001,ʼeleph,aleph-lamed-peh,אלף,hundred,Àlàfá ,Ewe,אלף,
H5927,1357,ʻâlâh,ayin-lamed,על,broken up,ʻâlâh,Hebrew,עלה,
H5927,1357,ʻâlâh,ayin-lamed,על,burnt,ʻâlâh,Hebrew,עלה,
H5927,1357,ʻâlâh,ayin-lamed,על,departed,ʻâlâh,Hebrew,עלה,
H5927,1357,ʻâlâh,ayin-lamed,על,gone up,ʻâlâh,Hebrew,עלה,
H5927,1357,ʻâlâh,ayin-lamed,על,leap,ʻâlâh,Hebrew,עלה,
H5927,1357,ʻâlâh,ayin-lamed,על,make to pay,ʻâlâh,Hebrew,עלה,
H5927,1357,ʻâlâh,ayin-lamed,על,mention,ʻâlâh,Hebrew,עלה,
H5927,1357,ʻâlâh,ayin-lamed,על,perfected,ʻâlâh,Hebrew,עלה,
H5927,1357,ʻâlâh,ayin-lamed,על,restore,ʻâlâh,Hebrew,עלה,
H5927,1357,ʻâlâh,ayin-lamed,על,spring,ʻâlâh,Hebrew,עלה,
H5927,1357,ʻâlâh,ayin-lamed,על,vapour,ʻâlâh,Hebrew,עלה,
H5928,1357,ʻălâh,ayin-lamed,על,burnt offering,ʻălâh,Hebrew,עלה,
H5928,1357,ʻălâh,ayin-lamed,על,holocaust,ʻălâh,Hebrew,עלה,
H423,1012,ʼâlâh,aleph-lamed,אל,curse,ʼâlâh,Hebrew,אלה,
H423,1012,ʼâlâh,aleph-lamed,אל,imprecation,ʼâlâh,Hebrew,אלה,
H422,1012,ʼâlâh,aleph-lamed,אל,curse,ʼâlâh,Hebrew,אלה,
H369,1014,ʼayin,aleph-nun,אנ,fatherless,aláìní baba,Yoruba,אין,
H5953,1058,ʻâlal,gimel-lamed,גל,effect thoroughly,ʻâlal,Hebrew,עלל,
H5954,1058,ʻălal,gimel-lamed,גל,abuse,ʻălal,Hebrew,עלל,
H5954,1058,ʻălal,gimel-lamed,גל,affect,ʻălal,Hebrew,עלל,
H5954,1058,ʻălal,gimel-lamed,גל,bring,ʻălal,Hebrew,עלל,
H5954,1058,ʻălal,gimel-lamed,גל,children,ʻălal,Hebrew,עלל,
H5954,1058,ʻălal,gimel-lamed,גל,come,ʻălal,Hebrew,עלל,
H5954,1058,ʻălal,gimel-lamed,גל,defiled,ʻălal,Hebrew,עלל,
H5954,1058,ʻălal,gimel-lamed,גל,do,ʻălal,Hebrew,עלל,
H5954,1058,ʻălal,gimel-lamed,גל,done,ʻălal,Hebrew,עלל,
H5954,1058,ʻălal,gimel-lamed,גל,enter,ʻălal,Hebrew,עלל,
H5954,1357,ʻălal,ayin-lamed,על,glean,ʻălal,Hebrew,עלל,
H5954,1058,ʻălal,gimel-lamed,גל,mock,ʻălal,Hebrew,עלל,
H5954,1058,ʻălal,gimel-lamed,גל,practice,ʻălal,Hebrew,עלל,
H5954,1058,ʻălal,gimel-lamed,גל,went,ʻălal,Hebrew,עלל,
H5954,1058,ʻălal,gimel-lamed,גל,wrought,ʻălal,Hebrew,עלל,
H5957,2544,ʻâlam,ayin-lamed-mem,עלמ,remote time,ʻâlam,Hebrew,עלם,
H5956,2544,ʻâlam,ayin-lamed-mem,עלמ,veil,ʻâlam,Hebrew,עלם,
H481,1266,ʼâlam,lamed-mem,למ,binding,ʼâlam,Hebrew,אלם,
H481,1266,ʼâlam,lamed-mem,למ,dumb,ʼâlam,Hebrew,אלם,
H481,1266,ʼâlam,lamed-mem,למ,silent,ʼâlam,Hebrew,אלם,
H481,1266,ʼâlam,lamed-mem,למ,tie,ʼâlam,Hebrew,אלם,
H5961,2544,ʻĂlâmôwth,ayin-lamed-mem,עלמ,girls,ʻĂlâmôwth,Hebrew,עלמות,
H2498,2165,châlaph,hhet-lamed-pey,חלפ,alter,alapa,Zulu,חלף,alapa.mp3
H2498,2165,châlaph,hhet-lamed-pey,חלפ,change,alapa,Zulu,חלף,alapa.mp3
H2498,2165,châlaph,hhet-lamed-pey,חלפ,cure,alapa,Zulu,חלף,alapa.mp3
H2498,2165,châlaph,hhet-lamed-pey,חלפ,renew,alapa,Zulu,חלף,alapa.mp3
H503,2001,ʼâlaph,aleph-lamed-pey,אלף,make thousandfold,ʼâlaph,Hebrew,אלף,
H506,2001,ʼălaph,aleph-lamed-pey,אלף,thousand,ʼălaph,Hebrew,אלף,
H5939,2543,ʻălâṭâh,ayin-lamed-tet,עלט,dark,ʻălâṭâh,Hebrew,עלטה,
H5939,2543,ʻălâṭâh,ayin-lamed-tet,עלט,dusk,ʻălâṭâh,Hebrew,עלטה,
H5970,2548,ʻâlats,ayin-lamed-tsade,עלצ,joyful,ʻâlats,Hebrew,עלץ,
H5970,2548,ʻâlats,ayin-lamed-tsade,עלצ,jump for joy,ʻâlats,Hebrew,עלץ,
H5970,2548,ʻâlats,ayin-lamed-tsade,עלצ,rejoice,ʻâlats,Hebrew,עלץ,
H5970,2548,ʻâlats,ayin-lamed-tsade,עלצ,triumph,ʻâlats,Hebrew,עלץ,
H509,1271,ʼâlats,lamed-tsade,לצ,press,ʼâlats,Hebrew,אלץ,
H509,1271,ʼâlats,lamed-tsade,לצ,urge,ʼâlats,Hebrew,אלץ,
H5937,2542,ʻâlaz,ayin-lamed-zayin,עלז,joyful,ʻâlaz,Hebrew,עלז,
H5937,2542,ʻâlaz,ayin-lamed-zayin,עלז,jump,ʻâlaz,Hebrew,עלז,
H5937,2542,ʻâlaz,ayin-lamed-zayin,עלז,rejoice,ʻâlaz,Hebrew,עלז,
H5937,2542,ʻâlaz,ayin-lamed-zayin,עלז,triumph,ʻâlaz,Hebrew,עלז,
H5929,1357,ʻâleh,ayin-lamed,על,branch,ʻâleh,Hebrew,עלה,
H5929,1357,ʻâleh,ayin-lamed,על,leaf,ʻâleh,Hebrew,עלה,
H3617,1242,kâlâh,kaph-lamed,כל,finished,aleka,Bemba,כלה, 
H480,1254,ʼalᵉlay,lamed-aleph,לא,alas!,ʼalᵉlay,Hebrew,אללי,
H5964,1111,ʻÂlemeth,NAME,עלמת,Alemeth,ʻÂlemeth,Hebrew,עלמת,
H5938,2542,ʻâlêz,ayin-lamed-zayin,עלז,exultant,ʻâlêz,Hebrew,עלז,
H5944,1357,ʻălîyâh,ayin-lamed,על,ascent,ʻălîyâh,Hebrew,עליה,
H5944,1357,ʻălîyâh,ayin-lamed,על,lofty,ʻălîyâh,Hebrew,עליה,
H5944,1357,ʻălîyâh,ayin-lamed,על,up,ʻălîyâh,Hebrew,עליה,
H5948,1357,ʻălîyl,ayin-lamed,על,crucible,ʻălîyl,Hebrew,עליל,
H5949,1357,ʻălîylâh,ayin-lamed,על,exploit,ʻălîylâh,Hebrew,עלילה,
H5950,1357,ʻălîylîyâh,ayin-lamed,על,execution,ʻălîylîyâh,Hebrew,עליליה,
H5951,2548,ʻălîytsûwth,ayin-lamed-tsade,עלצ,exultation,ʻălîytsûwth,Hebrew,עליצות,
H5951,2548,ʻălîytsûwth,ayin-lamed-tsade,עלצ,rejoice,ʻălîytsûwth,Hebrew,עליצות,
H427,1111,ʼallâh,NAME,אלה,God,ʼallâh,Hebrew,אלה,
H487,1111,ʼAllammelek,NAME,אלמלך,Allammelek,ʼAllammelek,Hebrew,אלמלך,
H5952,1357,ʻallîyth,ayin-lamed,על,ascent ,ʻallîyth,Hebrew,עלית,
H5952,1357,ʻallîyth,ayin-lamed,על,chamber,ʻallîyth,Hebrew,עלית,
H5952,1357,ʻallîyth,ayin-lamed,על,loft,ʻallîyth,Hebrew,עלית,
H5952,1357,ʻallîyth,ayin-lamed,על,parlour,ʻallîyth,Hebrew,עלית,
H5952,1357,ʻallîyth,ayin-lamed,על,second-story room,ʻallîyth,Hebrew,עלית,
H5952,1357,ʻallîyth,ayin-lamed,על,up,ʻallîyth,Hebrew,עלית,
H5947,2542,ʻallîyz,ayin-lamed-zayin,עלז,exultant,ʻallîyz,Hebrew,עליז,
H438,1111,ʼAllôwn,NAME,אלון,Allon,ʼAllôwn,Hebrew,אלון,
H437,1012,ʼallôwn,aleph-lamed,אל,oak tree,ʼallôwn,Hebrew,אלון,
